Bias,Sensor HV0,HV0,Sensor HV1,HV1,Sensor HV2,HV2,Sensor HV3,HV3,Sensor HV4,HV4,Sensor HV5,HV5,Sensor HV6,HV6,Sensor HV7,HV7,Notes,Attachments,Run Table,Configurations
1,FBK 2x8 1,360,FBK 2x8 1,360,FBK 2x8 1,360,FBK 2x8 1,360,FBK 2x8 1,360,FBK 2x8 1,360,FBK 2x8 1,360,FBK 2x8 1,360,,,,1
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
5,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",160,"""HPK 3.1 4x4 8E14, UCSC""",400,"""HPK 3.1 4x4 1.5E15, UCSC""",400,Photek,4200,,,,,,12
6,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",175,"""HPK 3.1 4x4 8E14, UCSC""",450,"""HPK 3.1 4x4 1.5E15, UCSC""",450,,,,,,,,
7,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",175,"""HPK 3.1 4x4 8E14, UCSC""",450,"""HPK 3.1 4x4 1.5E15, UCSC""",450,Photek,4200,,,,,,13
8,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",185,"""HPK 3.1 4x4 8E14, UCSC""",500,"""HPK 3.1 4x4 1.5E15, UCSC""",500,Photek,4200,,,,,,14
9,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",185,"""HPK 3.1 4x4 8E14, UCSC""",550,"""HPK 3.1 4x4 1.5E15, UCSC""",550,Photek,4200,,,,,,15
10,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",195,"""HPK 3.1 4x4 8E14, UCSC""",575,"""HPK 3.1 4x4 1.5E15, UCSC""",575,Photek,4200,,,,,,16
11,Photek,4200,,,,,,,,,,,Photek,4200,,,,,,18
12,Photek,4500,,,,,,,,,,,Photek,4500,,,,,,"19,20"
13,,,,,,,,,,,,,Photek,4200,,,,,,21
14,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",160,"""HPK 3.1 4x4 8E14, UCSC""",500,"""HPK 3.1 4x4 1.5E15, UCSC""",500,Photek,4200,,,,,,22
15,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",175,"""HPK 3.1 4x4 8E14, UCSC""",550,"""HPK 3.1 4x4 1.5E15, UCSC""",575,Photek,4200,,,,,,23
16,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",185,"""HPK 3.1 4x4 8E14, UCSC""",575,"""HPK 3.1 4x4 1.5E15, UCSC""",600,Photek,4200,,,,,,24
17,,,,,,,"""HPK 3.1 4x4 pre-rad, UCSC""",195,"""HPK 3.1 4x4 8E14, UCSC""",600,"""HPK 3.1 4x4 1.5E15, UCSC""",615,Photek,4200,,,,,,25
