Configuration number,Sensor Ch0,Ch 0,Sensor Ch1,Ch 1,Sensor Ch2,Ch 2,Sensor Ch3,Ch 3,Configurations,Sensors,Note
1,HPK 50D,1,FBK 2x8 1,6,Photek,1,"""HPK 3.1 4x4 pre-rad, UCSC""",1,"2,6,9",,
4,"""HPK 3.1 4x4 pre-rad, UCSC""",1,"""HPK 3.1 4x4 8E14, UCSC""",1,"""HPK 3.1 4x4 1.5E15, UCSC""",1,Photek,1,"12,13,14,15,16,22,23,24,25,26,27,28",,
5,,,,,Photek,2,Photek,1,"18,19,20",,
6,"""HPK 3.1 2x2 95 microns, FNAL""",1,"""HPK 3.1 2x2 95 microns, FNAL""",2,"""HPK 3.1 2x2 95 microns, FNAL""",3,Photek,1,29,,
7,"""HPK 3.1 2x2 50 microns, FNAL""",1,"""HPK 3.1 2x2 50 microns, FNAL""",2,"""HPK 3.1 2x2 50 microns, FNAL""",3,Photek,1,30,,
8,"""HPK 3.1 2x2 30 microns, FNAL""",1,"""HPK 3.1 2x2 30 microns, FNAL""",2,"""HPK 3.1 2x2 30 microns, FNAL""",3,Photek,1,31,,
9,"""HPK 3.1 2x2 70 microns, FNAL""",1,"""HPK 3.1 2x2 70 microns, FNAL""",2,"""HPK 3.1 2x2 70 microns, FNAL""",3,Photek,1,32,,
10,"""HPK 3.1 2x2 95 microns, FNAL""",4,"""HPK 3.1 2x2 70 microns, FNAL""",4,"""HPK 3.1 2x2 50 microns, FNAL""",4,"""HPK 3.1 2x2 30 microns, FNAL""",4,34,,
11,"""HPK 3.1 4x4 8E14, FNAL""",6,"""HPK 3.1 4x4 4E14, UCSC""",1,"""HPK 3.1 1.3 mm 5E14 neq proton, UCSC""",1,Photek,1,"38,39,40,41,42,43,45,46,47,48",,
12,"""HPK 3.1 4x4 8E14, FNAL""",6,"""HPK 3.1 4x4 8E14, FNAL""",11,"""HPK 3.1 4x4 8E14, FNAL""",16,Photek,1,44,,
13,"""HPK 3.1 4x4 8E14, FNAL""",3,"""HPK 3.1 4x4 8E14, FNAL""",11,"""HPK 3.1 4x4 8E14, FNAL""",14,Photek,4200,"49,56",,
